poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"1155",./images/1155/IMG_2859.jpg,2021/08/10 13:19:36,Kohei Otsuka,山王日限地蔵前庚申,,"431",./mid_thumbs/1155/IMG_2859.jpg,./small_thumbs/1155/IMG_2859.jpg
"1601",./images/1601/IMG_2888.jpg,2021/08/10 13:34:55,Kohei Otsuka,吉祥寺庚申,,"432",./mid_thumbs/1601/IMG_2888.jpg,./small_thumbs/1601/IMG_2888.jpg
"319",./images/319/IMG_2900.jpg,2021/08/10 13:43:09,Kohei Otsuka,田谷宝永庚申塔,,"433",./mid_thumbs/319/IMG_2900.jpg,./small_thumbs/319/IMG_2900.jpg
"1595",./images/1595/IMG_2895.jpg,2021/08/10 13:38:53,Kohei Otsuka,寄居二猿庚申,,"434",./mid_thumbs/1595/IMG_2895.jpg,./small_thumbs/1595/IMG_2895.jpg
"1595",./images/1595/IMG_2896.jpg,2021/08/10 13:39:02,Kohei Otsuka,寄居二猿庚申,,"435",./mid_thumbs/1595/IMG_2896.jpg,./small_thumbs/1595/IMG_2896.jpg
"1595",./images/1595/IMG_2894.jpg,2021/08/10 13:38:45,Kohei Otsuka,寄居二猿庚申,,"436",./mid_thumbs/1595/IMG_2894.jpg,./small_thumbs/1595/IMG_2894.jpg
"314",./images/314/IMG_2963.jpg,2021/08/10 14:23:44,Kohei Otsuka,判官塚延宝庚申塔,,"437",./mid_thumbs/314/IMG_2963.jpg,./small_thumbs/314/IMG_2963.jpg
"321",./images/321/IMG_2964.jpg,2021/08/10 14:23:59,Kohei Otsuka,判官塚享保青面金剛,,"438",./mid_thumbs/321/IMG_2964.jpg,./small_thumbs/321/IMG_2964.jpg
"322",./images/322/IMG_2965.jpg,2021/08/10 14:24:03,Kohei Otsuka,判官塚寛政庚申塔,,"439",./mid_thumbs/322/IMG_2965.jpg,./small_thumbs/322/IMG_2965.jpg
"325",./images/325/IMG_2962.jpg,2021/08/10 14:23:31,Kohei Otsuka,判官塚萬延庚申塔,,"440",./mid_thumbs/325/IMG_2962.jpg,./small_thumbs/325/IMG_2962.jpg
"1100",./images/1100/IMG_2999.jpg,2021/08/10 14:49:51,Kohei Otsuka,正儀内新田庚申,,"441",./mid_thumbs/1100/IMG_2999.jpg,./small_thumbs/1100/IMG_2999.jpg
"1101",./images/1101/IMG_2745.jpg,2021/08/10 11:47:46,Kohei Otsuka,観音堂峯木家馬頭観世音,,"442",./mid_thumbs/1101/IMG_2745.jpg,./small_thumbs/1101/IMG_2745.jpg
"1103",./images/1103/IMG_2774.jpg,2021/08/10 12:28:26,Kohei Otsuka,岡里小林家馬頭観世音,,"443",./mid_thumbs/1103/IMG_2774.jpg,./small_thumbs/1103/IMG_2774.jpg
"283",./images/283/IMG_2956.jpg,2021/08/10 14:22:43,Kohei Otsuka,判官塚天保馬頭尊,,"444",./mid_thumbs/283/IMG_2956.jpg,./small_thumbs/283/IMG_2956.jpg
"283",./images/283/IMG_2957.jpg,2021/08/10 14:22:50,Kohei Otsuka,判官塚天保馬頭尊,,"445",./mid_thumbs/283/IMG_2957.jpg,./small_thumbs/283/IMG_2957.jpg
"288",./images/288/IMG_2958.jpg,2021/08/10 14:23:02,Kohei Otsuka,判官塚小暮馬頭観世音,,"446",./mid_thumbs/288/IMG_2958.jpg,./small_thumbs/288/IMG_2958.jpg
"291",./images/291/IMG_2959.jpg,2021/08/10 14:23:07,Kohei Otsuka,判官塚浜野馬頭観世音,,"447",./mid_thumbs/291/IMG_2959.jpg,./small_thumbs/291/IMG_2959.jpg
"1124",./images/1124/IMG_2862.jpg,2021/08/10 13:20:25,Kohei Otsuka,山王日限地蔵前十九夜,,"448",./mid_thumbs/1124/IMG_2862.jpg,./small_thumbs/1124/IMG_2862.jpg
"1124",./images/1124/IMG_2865.jpg,2021/08/10 13:20:45,Kohei Otsuka,山王日限地蔵前十九夜,,"449",./mid_thumbs/1124/IMG_2865.jpg,./small_thumbs/1124/IMG_2865.jpg
"1124",./images/1124/IMG_2866.jpg,2021/08/10 13:20:54,Kohei Otsuka,山王日限地蔵前十九夜,,"450",./mid_thumbs/1124/IMG_2866.jpg,./small_thumbs/1124/IMG_2866.jpg
"1124",./images/1124/IMG_2863.jpg,2021/08/10 13:20:33,Kohei Otsuka,山王日限地蔵前十九夜,,"451",./mid_thumbs/1124/IMG_2863.jpg,./small_thumbs/1124/IMG_2863.jpg
"1060",./images/1060/IMG_2867.jpg,2021/08/10 13:21:02,Kohei Otsuka,山王地蔵菩薩,,"452",./mid_thumbs/1060/IMG_2867.jpg,./small_thumbs/1060/IMG_2867.jpg
"1060",./images/1060/IMG_2868.jpg,2021/08/10 13:21:15,Kohei Otsuka,山王地蔵菩薩,,"453",./mid_thumbs/1060/IMG_2868.jpg,./small_thumbs/1060/IMG_2868.jpg
"307",./images/307/IMG_2901.jpg,2021/08/10 13:43:29,Kohei Otsuka,田谷嘉永十九夜塔,,"454",./mid_thumbs/307/IMG_2901.jpg,./small_thumbs/307/IMG_2901.jpg
